!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Thu Sep 08 15:17:37 2022

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+3.22513550000e+005, +1.21439830504e+003, -2.65655337212e+004
+3.23763525000e+005, +1.20364360891e+003, -2.64602246341e+004
+3.25013500000e+005, +1.19296704479e+003, -2.63629264923e+004
+3.26263475000e+005, +1.18972481069e+003, -2.62669284807e+004
+3.27513450000e+005, +1.18426587158e+003, -2.61738182927e+004
+3.28763425000e+005, +1.17802133439e+003, -2.60694159351e+004
+3.30013400000e+005, +1.17317571454e+003, -2.59737389406e+004
+3.31263375000e+005, +1.17190454130e+003, -2.58773176643e+004
+3.32513350000e+005, +1.16102524036e+003, -2.57872696318e+004
+3.33763325000e+005, +1.15709588003e+003, -2.56901239140e+004
+3.35013300000e+005, +1.15362209224e+003, -2.55983470184e+004
+3.36263275000e+005, +1.14550327507e+003, -2.55086134747e+004
+3.37513250000e+005, +1.14141387885e+003, -2.54152487375e+004
+3.38763225000e+005, +1.13431595475e+003, -2.53253996190e+004
+3.40013200000e+005, +1.12803251752e+003, -2.52290044068e+004
+3.41263175000e+005, +1.12795462517e+003, -2.51421247591e+004
+3.42513150000e+005, +1.11963293305e+003, -2.50510156594e+004
+3.43763125000e+005, +1.11611971336e+003, -2.49600907134e+004
+3.45013100000e+005, +1.11135916305e+003, -2.48747090801e+004
+3.46263075000e+005, +1.11023394302e+003, -2.47868147826e+004
+3.47513050000e+005, +1.09786900527e+003, -2.47012043020e+004
+3.48763025000e+005, +1.09381801358e+003, -2.46142211612e+004
+3.50013000000e+005, +1.08483007957e+003, -2.45327434321e+004
+3.51262975000e+005, +1.08977010830e+003, -2.44404804278e+004
+3.52512950000e+005, +1.08352142165e+003, -2.43603665845e+004
+3.53762925000e+005, +1.07903692005e+003, -2.42742306540e+004
+3.55012900000e+005, +1.06924616231e+003, -2.41904310782e+004
+3.56262875000e+005, +1.07257359258e+003, -2.41092817056e+004
+3.57512850000e+005, +1.06668563532e+003, -2.40301297237e+004
+3.58762825000e+005, +1.06200548993e+003, -2.39411920721e+004
+3.60012800000e+005, +1.05785286977e+003, -2.38640419172e+004
+3.61262775000e+005, +1.05557695610e+003, -2.37869388724e+004
+3.62512750000e+005, +1.04868502770e+003, -2.36996382444e+004
+3.63762725000e+005, +1.04500791089e+003, -2.36231993608e+004
+3.65012700000e+005, +1.03612002859e+003, -2.35438332837e+004
+3.66262675000e+005, +1.03560351001e+003, -2.34701626446e+004
+3.67512650000e+005, +1.03054987235e+003, -2.33862206200e+004
+3.68762625000e+005, +1.02908159358e+003, -2.33092430232e+004
+3.70012600000e+005, +1.01934216223e+003, -2.32384044878e+004
+3.71262575000e+005, +1.01930230656e+003, -2.31564315042e+004
+3.72512550000e+005, +1.01707381405e+003, -2.30815055552e+004
+3.73762525000e+005, +1.01014083964e+003, -2.30103693468e+004
+3.75012500000e+005, +1.00337327691e+003, -2.29328267796e+004
+3.76262475000e+005, +1.00219490830e+003, -2.28590195329e+004
+3.77512450000e+005, +9.95344546428e+002, -2.27801095094e+004
+3.78762425000e+005, +9.94780820522e+002, -2.27096823032e+004
+3.80012400000e+005, +9.89481558135e+002, -2.26361254634e+004
+3.81262375000e+005, +9.85951120769e+002, -2.25655228175e+004
+3.82512350000e+005, +9.84612534671e+002, -2.24929458634e+004
+3.83762325000e+005, +9.77712618971e+002, -2.24206004122e+004
+3.85012300000e+005, +9.75980705450e+002, -2.23512198266e+004
+3.86262275000e+005, +9.71685690578e+002, -2.22781953697e+004
+3.87512250000e+005, +9.68403644147e+002, -2.22105923852e+004
+3.88762225000e+005, +9.65587272658e+002, -2.21407164045e+004
+3.90012200000e+005, +9.59920714601e+002, -2.20768217620e+004
+3.91262175000e+005, +9.57554419318e+002, -2.20016365960e+004
+3.92512150000e+005, +9.55300774879e+002, -2.19352667248e+004
+3.93762125000e+005, +9.44872074303e+002, -2.18637126694e+004
+3.95012100000e+005, +9.48949378640e+002, -2.17970305339e+004
+3.96262075000e+005, +9.41971451005e+002, -2.17315568049e+004
+3.97512050000e+005, +9.40209929625e+002, -2.16651909905e+004
+3.98762025000e+005, +9.35522877506e+002, -2.15997959339e+004
+4.00012000000e+005, +9.29470192669e+002, -2.15330373592e+004
+4.01261975000e+005, +9.28000989775e+002, -2.14694551761e+004
+4.02511950000e+005, +9.26440603975e+002, -2.14012511052e+004
+4.03761925000e+005, +9.23465002919e+002, -2.13365871956e+004
+4.05011900000e+005, +9.16016953443e+002, -2.12750795357e+004
+4.06261875000e+005, +9.15275849263e+002, -2.12084023117e+004
+4.07511850000e+005, +9.12107841637e+002, -2.11459001503e+004
+4.08761825000e+005, +9.09891236490e+002, -2.10835434208e+004
+4.10011800000e+005, +9.02975234451e+002, -2.10196616684e+004
+4.11261775000e+005, +9.01593064873e+002, -2.09564428246e+004
+4.12511750000e+005, +8.97780080845e+002, -2.09009687557e+004
+4.13761725000e+005, +8.96096590089e+002, -2.08333345160e+004
+4.15011700000e+005, +8.92683808601e+002, -2.07709317555e+004
+4.16261675000e+005, +8.88079891038e+002, -2.07094311201e+004
+4.17511650000e+005, +8.84795617621e+002, -2.06490088888e+004
+4.18761625000e+005, +8.81510298912e+002, -2.05901985107e+004
+4.20011600000e+005, +8.81797195504e+002, -2.05302899672e+004
+4.21261575000e+005, +8.77968572629e+002, -2.04711158529e+004
+4.22511550000e+005, +8.73802765913e+002, -2.04111206040e+004
+4.23761525000e+005, +8.72655750620e+002, -2.03555536005e+004
+4.25011500000e+005, +8.67240387129e+002, -2.02955435311e+004
+4.26261475000e+005, +8.65831016177e+002, -2.02373609199e+004
+4.27511450000e+005, +8.60382687001e+002, -2.01797754083e+004
+4.28761425000e+005, +8.59131466740e+002, -2.01202287439e+004
+4.30011400000e+005, +8.55653711538e+002, -2.00635900678e+004
+4.31261375000e+005, +8.53060295570e+002, -2.00065352784e+004
+4.32511350000e+005, +8.52420060459e+002, -1.99515797226e+004
+4.33761325000e+005, +8.47996601164e+002, -1.98953404245e+004
+4.35011300000e+005, +8.44064748180e+002, -1.98387460141e+004
+4.36261275000e+005, +8.39146253731e+002, -1.97853685369e+004
+4.37511250000e+005, +8.41048000217e+002, -1.97277432869e+004
+4.38761225000e+005, +8.35043412951e+002, -1.96724980446e+004
+4.40011200000e+005, +8.32023738304e+002, -1.96194090346e+004
+4.41261175000e+005, +8.29990085270e+002, -1.95629696421e+004
+4.42511150000e+005, +8.25450239644e+002, -1.95101797220e+004
+4.43761125000e+005, +8.23989969293e+002, -1.94576616721e+004
+4.45011100000e+005, +8.21131579051e+002, -1.94014210442e+004
+4.46261075000e+005, +8.17996812295e+002, -1.93502747226e+004
+4.47511050000e+005, +8.16713319983e+002, -1.92967532257e+004
+4.48761025000e+005, +8.13121145858e+002, -1.92427811898e+004
+4.50011000000e+005, +8.12591416473e+002, -1.91924762228e+004
+4.51260975000e+005, +8.09211029921e+002, -1.91398678492e+004
+4.52510950000e+005, +8.05870761928e+002, -1.90884758717e+004
+4.53760925000e+005, +8.02604462205e+002, -1.90370444166e+004
+4.55010900000e+005, +8.01064279035e+002, -1.89864779730e+004
+4.56260875000e+005, +7.98084488550e+002, -1.89360710925e+004
+4.57510850000e+005, +7.95939988419e+002, -1.88843063391e+004
+4.58760825000e+005, +7.90933380207e+002, -1.88339990968e+004
+4.60010800000e+005, +7.90334514528e+002, -1.87840435935e+004
+4.61260775000e+005, +7.86949441124e+002, -1.87336912759e+004
+4.62510750000e+005, +7.82383054492e+002, -1.86826048226e+004
+4.63760725000e+005, +7.82834332867e+002, -1.86342019746e+004
+4.65010700000e+005, +7.80327192622e+002, -1.85879580617e+004
+4.66260675000e+005, +7.78635417142e+002, -1.85363469360e+004
