!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Fri Sep 09 10:22:19 2022

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+3.86262275000e+005, +7.02802558942e+002, -2.34889134098e+004
+3.87512250000e+005, +6.99621237885e+002, -2.34159449714e+004
+3.88762225000e+005, +6.97732792655e+002, -2.33410056195e+004
+3.90012200000e+005, +6.96176068424e+002, -2.32656113256e+004
+3.91262175000e+005, +6.92106811769e+002, -2.31906637438e+004
+3.92512150000e+005, +6.90702884598e+002, -2.31220824553e+004
+3.93762125000e+005, +6.97262084485e+002, -2.30403136281e+004
+3.95012100000e+005, +6.84664769594e+002, -2.29744035186e+004
+3.96262075000e+005, +6.84438492667e+002, -2.29029369125e+004
+3.97512050000e+005, +6.82233785525e+002, -2.28365622654e+004
+3.98762025000e+005, +6.77843210623e+002, -2.27649839122e+004
+4.00012000000e+005, +6.80073561445e+002, -2.26955695144e+004
+4.01261975000e+005, +6.76613082459e+002, -2.26265302613e+004
+4.02511950000e+005, +6.72376260076e+002, -2.25548971427e+004
+4.03761925000e+005, +6.72308547932e+002, -2.24868066858e+004
+4.05011900000e+005, +6.66477144480e+002, -2.24178030296e+004
+4.06261875000e+005, +6.65990779413e+002, -2.23535925798e+004
+4.07511850000e+005, +6.61279970405e+002, -2.22785174673e+004
+4.08761825000e+005, +6.64979808822e+002, -2.22143360039e+004
+4.10011800000e+005, +6.58485149732e+002, -2.21503180640e+004
+4.11261775000e+005, +6.56806574337e+002, -2.20852947503e+004
+4.12511750000e+005, +6.53985118763e+002, -2.20197005261e+004
+4.13761725000e+005, +6.51797006153e+002, -2.19419281205e+004
+4.15011700000e+005, +6.50103559653e+002, -2.18888040799e+004
+4.16261675000e+005, +6.51631118752e+002, -2.18236379748e+004
+4.17511650000e+005, +6.46397888967e+002, -2.17610735019e+004
+4.18761625000e+005, +6.46045267465e+002, -2.16956087268e+004
+4.20011600000e+005, +6.41012025159e+002, -2.16327326404e+004
+4.21261575000e+005, +6.46788439062e+002, -2.15712335551e+004
+4.22511550000e+005, +6.40273988961e+002, -2.15053751434e+004
+4.23761525000e+005, +6.34803651543e+002, -2.14470456464e+004
+4.25011500000e+005, +6.36528889328e+002, -2.13796037639e+004
+4.26261475000e+005, +6.30995854629e+002, -2.13208719412e+004
+4.27511450000e+005, +6.33656175552e+002, -2.12609885261e+004
+4.28761425000e+005, +6.28583704263e+002, -2.11986141591e+004
+4.30011400000e+005, +6.26107108835e+002, -2.11385701666e+004
+4.31261375000e+005, +6.24528801466e+002, -2.10790743326e+004
+4.32511350000e+005, +6.21261424738e+002, -2.10178550100e+004
+4.33761325000e+005, +6.20069046785e+002, -2.09602313164e+004
+4.35011300000e+005, +6.16784117843e+002, -2.08978234501e+004
+4.36261275000e+005, +6.18255509085e+002, -2.08367753702e+004
+4.37511250000e+005, +6.14463299069e+002, -2.07822908937e+004
+4.38761225000e+005, +6.12188193303e+002, -2.07242074478e+004
+4.40011200000e+005, +6.13027861564e+002, -2.06613577362e+004
+4.41261175000e+005, +6.06124691482e+002, -2.06084200330e+004
+4.42511150000e+005, +6.15049312149e+002, -2.05508377972e+004
+4.43761125000e+005, +6.04926825165e+002, -2.04955823044e+004
+4.45011100000e+005, +5.99299677824e+002, -2.04348594352e+004
+4.46261075000e+005, +6.03637313168e+002, -2.03829362560e+004
+4.47511050000e+005, +6.00761175413e+002, -2.03283003273e+004
+4.48761025000e+005, +6.01055009372e+002, -2.02698395289e+004
+4.50011000000e+005, +5.95453433753e+002, -2.02164043914e+004
+4.51260975000e+005, +5.93562486931e+002, -2.01590699849e+004
+4.52510950000e+005, +5.95111637903e+002, -2.01079432744e+004
+4.53760925000e+005, +5.91606446156e+002, -2.00501261771e+004
+4.55010900000e+005, +5.92864077329e+002, -1.99955358588e+004
+4.56260875000e+005, +5.89639634028e+002, -1.99422786407e+004
+4.57510850000e+005, +5.85596557903e+002, -1.98895159357e+004
+4.58760825000e+005, +5.85629993833e+002, -1.98393682248e+004
+4.60010800000e+005, +5.86788155276e+002, -1.97790360509e+004
+4.61260775000e+005, +5.80702965966e+002, -1.97299970666e+004
+4.62510750000e+005, +5.79909400882e+002, -1.96781652451e+004
+4.63760725000e+005, +5.79835456771e+002, -1.96279303087e+004
+4.65010700000e+005, +5.75839712488e+002, -1.95771703010e+004
+4.66260675000e+005, +5.75698625404e+002, -1.95224635516e+004
+4.67510650000e+005, +5.72708959447e+002, -1.94734856091e+004
+4.68760625000e+005, +5.71988940912e+002, -1.94215694781e+004
+4.70010600000e+005, +5.69800419730e+002, -1.93708316421e+004
+4.71260575000e+005, +5.68567773069e+002, -1.93184787063e+004
+4.72510550000e+005, +5.65476719793e+002, -1.92697421010e+004
+4.73760525000e+005, +5.65972107552e+002, -1.92175867046e+004
+4.75010500000e+005, +5.64131911748e+002, -1.91651956626e+004
+4.76260475000e+005, +5.63682670276e+002, -1.91124165827e+004
+4.77510450000e+005, +5.55676136117e+002, -1.90711968390e+004
+4.78760425000e+005, +5.59517871714e+002, -1.90227901533e+004
+4.80010400000e+005, +5.59914047002e+002, -1.89704821443e+004
+4.81260375000e+005, +5.55077542468e+002, -1.89243979488e+004
+4.82510350000e+005, +5.53712696424e+002, -1.88766747092e+004
+4.83760325000e+005, +5.52263222435e+002, -1.88289797327e+004
+4.85010300000e+005, +5.50876585906e+002, -1.87814946492e+004
+4.86260275000e+005, +5.49395427201e+002, -1.87333341610e+004
+4.87510250000e+005, +5.46837016075e+002, -1.86781751216e+004
+4.88760225000e+005, +5.45697886060e+002, -1.86401857811e+004
+4.90010200000e+005, +5.45219450756e+002, -1.85905696524e+004
+4.91260175000e+005, +5.44362285540e+002, -1.85469867761e+004
+4.92510150000e+005, +5.40245640890e+002, -1.85010792506e+004
