!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Wed Oct 12 10:17:16 2022

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+3.20013600000e+005, +1.07515188127e+003, -3.77935775142e+004
+3.21263575000e+005, +1.06932755492e+003, -3.76462424804e+004
+3.22513550000e+005, +1.06652182627e+003, -3.75024999380e+004
+3.23763525000e+005, +1.05997423209e+003, -3.73645220750e+004
+3.25013500000e+005, +1.05710985151e+003, -3.72222104944e+004
+3.26263475000e+005, +1.05562080328e+003, -3.70798041356e+004
+3.27513450000e+005, +1.04768518000e+003, -3.69401043220e+004
+3.28763425000e+005, +1.04517458145e+003, -3.68033919386e+004
+3.30013400000e+005, +1.04177031645e+003, -3.66666906367e+004
+3.31263375000e+005, +1.03839831966e+003, -3.65319924960e+004
+3.32513350000e+005, +1.03249419078e+003, -3.63961404185e+004
+3.33763325000e+005, +1.02893363914e+003, -3.62616396986e+004
+3.35013300000e+005, +1.02705239425e+003, -3.61288753377e+004
+3.36263275000e+005, +1.02609433079e+003, -3.59948944767e+004
+3.37513250000e+005, +1.02124228476e+003, -3.58646422842e+004
+3.38763225000e+005, +1.01379097650e+003, -3.57312151959e+004
+3.40013200000e+005, +1.01230023903e+003, -3.56008480499e+004
+3.41263175000e+005, +1.01031120087e+003, -3.54732512005e+004
+3.42513150000e+005, +1.00485200589e+003, -3.53467255358e+004
+3.43763125000e+005, +1.00360496671e+003, -3.52207986684e+004
+3.45013100000e+005, +9.97273411933e+002, -3.50933543907e+004
+3.46263075000e+005, +9.95242191584e+002, -3.49689445025e+004
+3.47513050000e+005, +9.90669508430e+002, -3.48471370711e+004
+3.48763025000e+005, +9.89604185252e+002, -3.47210762612e+004
+3.50013000000e+005, +9.85509430898e+002, -3.46002195850e+004
+3.51262975000e+005, +9.82758473680e+002, -3.44780228536e+004
+3.52512950000e+005, +9.73709204668e+002, -3.43616834833e+004
+3.53762925000e+005, +9.76084383083e+002, -3.42371644937e+004
+3.55012900000e+005, +9.69736593648e+002, -3.41208652158e+004
+3.56262875000e+005, +9.66413721253e+002, -3.40026347899e+004
+3.57512850000e+005, +9.63127521114e+002, -3.38842235890e+004
+3.58762825000e+005, +9.62570785363e+002, -3.37676099847e+004
+3.60012800000e+005, +9.56047194427e+002, -3.36486107907e+004
+3.61262775000e+005, +9.55895020338e+002, -3.35356369103e+004
+3.62512750000e+005, +9.52994728574e+002, -3.34210495013e+004
+3.63762725000e+005, +9.48766149629e+002, -3.33088679765e+004
+3.65012700000e+005, +9.46310605137e+002, -3.31933228380e+004
+3.66262675000e+005, +9.38556546884e+002, -3.30828178680e+004
+3.67512650000e+005, +9.40558985738e+002, -3.29731835247e+004
+3.68762625000e+005, +9.35207076425e+002, -3.28592814510e+004
+3.70012600000e+005, +9.31868027073e+002, -3.27527022721e+004
+3.71262575000e+005, +9.32686255035e+002, -3.26401551397e+004
+3.72512550000e+005, +9.26862491736e+002, -3.25293841941e+004
+3.73762525000e+005, +9.24962883409e+002, -3.24239735692e+004
+3.75012500000e+005, +9.21866856067e+002, -3.23215455564e+004
+3.76262475000e+005, +9.17191711636e+002, -3.22110810748e+004
+3.77512450000e+005, +9.16109562823e+002, -3.21094719817e+004
+3.78762425000e+005, +9.13004886842e+002, -3.20021040233e+004
+3.80012400000e+005, +9.10305036185e+002, -3.18956267946e+004
+3.81262375000e+005, +9.05857164687e+002, -3.17917430656e+004
+3.82512350000e+005, +9.03378182675e+002, -3.16914809224e+004
+3.83762325000e+005, +8.99824305798e+002, -3.15873179233e+004
+3.85012300000e+005, +8.96236718008e+002, -3.14896464044e+004
+3.86262275000e+005, +8.95277161140e+002, -3.13864177192e+004
+3.87512250000e+005, +8.88654294515e+002, -3.12892954290e+004
+3.88762225000e+005, +8.89624376801e+002, -3.11870397767e+004
+3.90012200000e+005, +8.87799763038e+002, -3.10883588460e+004
+3.91262175000e+005, +8.84068027940e+002, -3.09902983050e+004
+3.92512150000e+005, +8.80386259543e+002, -3.08948953506e+004
+3.93762125000e+005, +8.78992613863e+002, -3.07985261193e+004
+3.95012100000e+005, +8.74859883131e+002, -3.07000307028e+004
+3.96262075000e+005, +8.74084140085e+002, -3.06055837153e+004
+3.97512050000e+005, +8.68805762210e+002, -3.05107379766e+004
+3.98762025000e+005, +8.69383239673e+002, -3.04130097280e+004
+4.00012000000e+005, +8.68834699424e+002, -3.03211132837e+004
+4.01261975000e+005, +8.62350236449e+002, -3.02297629462e+004
+4.02511950000e+005, +8.60811779484e+002, -3.01350399554e+004
+4.03761925000e+005, +8.58368121498e+002, -3.00424634317e+004
+4.05011900000e+005, +8.55083599142e+002, -2.99513176503e+004
+4.06261875000e+005, +8.52496183081e+002, -2.98608450788e+004
+4.07511850000e+005, +8.50939606588e+002, -2.97718258308e+004
+4.08761825000e+005, +8.48871073093e+002, -2.96804676469e+004
+4.10011800000e+005, +8.45854890547e+002, -2.95915307054e+004
+4.11261775000e+005, +8.43996952043e+002, -2.95025679321e+004
+4.12511750000e+005, +8.41145036420e+002, -2.94153343560e+004
+4.13761725000e+005, +8.37588042025e+002, -2.93307916798e+004
+4.15011700000e+005, +8.35878476509e+002, -2.92382063055e+004
+4.16261675000e+005, +8.34086424609e+002, -2.91543230782e+004
+4.17511650000e+005, +8.28455584694e+002, -2.90656645632e+004
+4.18761625000e+005, +8.25537977801e+002, -2.89820043980e+004
+4.20011600000e+005, +8.23959493401e+002, -2.88962737065e+004
+4.21261575000e+005, +8.24608954081e+002, -2.88118305454e+004
+4.22511550000e+005, +8.21027554682e+002, -2.87282633252e+004
+4.23761525000e+005, +8.19705088875e+002, -2.86449144270e+004
+4.25011500000e+005, +8.15777778184e+002, -2.85610194298e+004
+4.26261475000e+005, +8.12618926692e+002, -2.84788972423e+004
+4.27511450000e+005, +8.12012312652e+002, -2.83975121385e+004
+4.28761425000e+005, +8.08168821514e+002, -2.83152542169e+004
+4.30011400000e+005, +8.07943740513e+002, -2.82344657409e+004
+4.31261375000e+005, +8.05624944615e+002, -2.81542677419e+004
+4.32511350000e+005, +8.03168744207e+002, -2.80746447760e+004
+4.33761325000e+005, +7.99243992126e+002, -2.79938452327e+004
+4.35011300000e+005, +7.98374350710e+002, -2.79149886664e+004
+4.36261275000e+005, +7.96851775740e+002, -2.78358708118e+004
+4.37511250000e+005, +7.94592489925e+002, -2.77575847108e+004
+4.38761225000e+005, +7.91965183354e+002, -2.76806932608e+004
+4.40011200000e+005, +7.89474884503e+002, -2.76028470356e+004
+4.41261175000e+005, +7.88560965515e+002, -2.75250386069e+004
+4.42511150000e+005, +7.87143457103e+002, -2.74500199490e+004
+4.43761125000e+005, +7.82727699658e+002, -2.73722020833e+004
+4.45011100000e+005, +7.81142651547e+002, -2.72991106090e+004
+4.46261075000e+005, +7.78584167989e+002, -2.72228675892e+004
+4.47511050000e+005, +7.76905333789e+002, -2.71469978040e+004
+4.48761025000e+005, +7.76491565182e+002, -2.70740499317e+004
+4.50011000000e+005, +7.72125413754e+002, -2.70008829157e+004
+4.51260975000e+005, +7.71644217711e+002, -2.69261509231e+004
+4.52510950000e+005, +7.67675501071e+002, -2.68525455594e+004
+4.53760925000e+005, +7.68934168046e+002, -2.67787590475e+004
+4.55010900000e+005, +7.63702051926e+002, -2.67056373453e+004
+4.56260875000e+005, +7.61319921603e+002, -2.66365346635e+004
+4.57510850000e+005, +7.62983868034e+002, -2.65644857187e+004
+4.58760825000e+005, +7.62079121142e+002, -2.64919049690e+004
+4.60010800000e+005, +7.55738344702e+002, -2.64206985852e+004
+4.61260775000e+005, +7.55157265541e+002, -2.63514882883e+004
+4.62510750000e+005, +7.52974027077e+002, -2.62810253983e+004
+4.63760725000e+005, +7.51109855163e+002, -2.62112134267e+004
+4.65010700000e+005, +7.50201998744e+002, -2.61420091057e+004
+4.66260675000e+005, +7.47646834391e+002, -2.60734019706e+004
+4.67510650000e+005, +7.46452125417e+002, -2.60046330125e+004
+4.68760625000e+005, +7.43277482262e+002, -2.59369460223e+004
+4.70010600000e+005, +7.42494929141e+002, -2.58703706897e+004
+4.71260575000e+005, +7.39226566418e+002, -2.58036956824e+004
+4.72510550000e+005, +7.38649510867e+002, -2.57348066178e+004
+4.73760525000e+005, +7.36575835866e+002, -2.56696380446e+004
