Created: Apr 1, 2019  09:16:45
AIM version 912 // ID = 190216155237
"04-01-19_2.scn"
Z0, 50
Freq(MHz),SWR,Rs,Xs,Zmag,Phase(deg),Rho,ReturnLoss,%ReflectedPower
 0.805000,  13.242437,  5.264430,  -31.270701,  31.710739,  -80.443991,  0.859575,  1.314329,  73.886848
 0.810000,  13.333094,  5.209941,  -31.074522,  31.508243,  -80.482476,  0.860463,  1.305358,  74.039620
 0.815000,  13.672128,  5.057502,  -30.826258,  31.238382,  -80.682930,  0.863687,  1.272871,  74.595544
 0.820000,  13.891629,  4.956251,  -30.590755,  30.989655,  -80.797168,  0.865696,  1.252688,  74.943019
 0.825000,  13.879690,  4.940209,  -30.361475,  30.760768,  -80.758362,  0.865589,  1.253769,  74.924362
 0.830000,  14.135185,  4.828672,  -30.107688,  30.492441,  -80.888636,  0.867858,  1.231031,  75.317678
 0.835000,  14.230829,  4.770413,  -29.805209,  30.184555,  -80.906905,  0.868687,  1.222730,  75.461777
 0.840000,  14.501254,  4.657610,  -29.519908,  29.885084,  -81.034008,  0.870978,  1.199855,  75.860299
 0.845000,  14.783407,  4.551217,  -29.305365,  29.656669,  -81.172445,  0.873285,  1.176884,  76.262607
 0.850000,  14.887367,  4.498070,  -29.036109,  29.382448,  -81.194278,  0.874114,  1.168640,  76.407496
 0.855000,  14.994142,  4.444720,  -28.762890,  29.104284,  -81.215727,  0.874954,  1.160293,  76.554488
 0.860000,  15.228023,  4.354659,  -28.477671,  28.808693,  -81.306112,  0.876756,  1.142421,  76.870178
 0.865000,  15.252739,  4.327724,  -28.212404,  28.542406,  -81.279070,  0.876944,  1.140565,  76.903046
 0.870000,  15.385042,  4.270078,  -27.935826,  28.260289,  -81.309570,  0.877937,  1.130729,  77.077416
 0.875000,  15.524615,  4.217405,  -27.739428,  28.058196,  -81.355297,  0.878968,  1.120534,  77.258551
 0.880000,  15.709390,  4.150804,  -27.501131,  27.812612,  -81.417153,  0.880307,  1.107319,  77.494010
 0.885000,  15.728765,  4.129174,  -27.265663,  27.576556,  -81.388577,  0.880445,  1.105951,  77.518419
 0.890000,  15.708269,  4.112302,  -26.945048,  27.257047,  -81.322729,  0.880299,  1.107398,  77.492597
 0.895000,  15.743263,  4.090673,  -26.763507,  27.074322,  -81.310014,  0.880549,  1.104930,  77.536650
 0.900000,  15.947140,  4.023057,  -26.537541,  26.840754,  -81.379816,  0.881986,  1.090766,  77.789929
 0.905000,  16.103794,  3.966544,  -26.275509,  26.573216,  -81.415606,  0.883067,  1.080128,  77.980711
 0.910000,  16.256397,  3.912921,  -26.023519,  26.316050,  -81.449153,  0.884101,  1.069963,  78.163449
 0.915000,  16.273122,  3.894391,  -25.797172,  26.089469,  -81.415484,  0.884213,  1.068860,  78.183293
 0.920000,  16.617144,  3.797717,  -25.541430,  25.822225,  -81.542882,  0.886474,  1.046678,  78.583654
 0.925000,  16.903881,  3.716720,  -25.269134,  25.541009,  -81.632769,  0.888292,  1.028881,  78.906335
 0.930000,  16.852012,  3.712328,  -25.004852,  25.278924,  -81.555450,  0.887968,  1.032056,  78.848684
 0.935000,  16.930211,  3.681690,  -24.777156,  25.049198,  -81.548285,  0.888456,  1.027277,  78.935480
 0.940000,  16.763342,  3.706749,  -24.580296,  24.858217,  -81.424463,  0.887409,  1.037528,  78.749398
 0.945000,  16.868449,  3.670629,  -24.357706,  24.632729,  -81.430333,  0.888071,  1.031048,  78.866986
 0.950000,  16.602736,  3.719275,  -24.184183,  24.468504,  -81.257148,  0.886381,  1.047588,  78.567181
 0.955000,  16.781660,  3.664334,  -23.920098,  24.199141,  -81.290675,  0.887525,  1.036392,  78.769985
 0.960000,  16.945429,  3.613472,  -23.647327,  23.921815,  -81.312165,  0.888551,  1.026353,  78.952289
 0.965000,  16.944904,  3.603942,  -23.474850,  23.749884,  -81.272038,  0.888548,  1.026385,  78.951709
 0.970000,  16.701387,  3.645913,  -23.285460,  23.569161,  -81.101325,  0.887015,  1.041386,  78.679473
 0.975000,  16.767728,  3.616838,  -23.021982,  23.304360,  -81.071742,  0.887436,  1.037256,  78.754331
 0.980000,  16.953837,  3.564102,  -22.783075,  23.060167,  -81.109059,  0.888603,  1.025843,  78.961564
 0.985000,  16.948814,  3.555082,  -22.595807,  22.873765,  -81.058881,  0.888572,  1.026147,  78.956025
 0.990000,  17.128728,  3.506604,  -22.385783,  22.658763,  -81.097434,  0.889678,  1.015344,  79.152670
 0.995000,  17.110571,  3.499382,  -22.176584,  22.450981,  -81.033022,  0.889567,  1.016424,  79.132990
 1.000000,  16.958033,  3.520548,  -21.978731,  22.258906,  -80.899822,  0.888629,  1.025588,  78.966191
