Created: Mar 26, 2019  09:19:05
AIM version 912 // ID = 190216155237
"03-26-2019_1.scn"
Z0, 50
Freq(MHz),SWR,Rs,Xs,Zmag,Phase(deg),Rho,ReturnLoss,%ReflectedPower
 0.720000,  11.490401,  6.282312,  -33.123764,  33.714258,  -79.260877,  0.839877,  1.515686,  70.539344
 0.725000,  11.532062,  6.222198,  -32.802447,  33.387366,  -79.259482,  0.840409,  1.510183,  70.628786
 0.730000,  11.533884,  6.179848,  -32.441979,  33.025331,  -79.215119,  0.840433,  1.509943,  70.632686
 0.735000,  11.471267,  6.181309,  -32.157523,  32.746219,  -79.119475,  0.839631,  1.518227,  70.498084
 0.740000,  11.500939,  6.136146,  -31.899791,  32.484596,  -79.111890,  0.840012,  1.514290,  70.562019
 0.745000,  11.562867,  6.076220,  -31.658817,  32.236643,  -79.135580,  0.840801,  1.506139,  70.694577
 0.750000,  11.619206,  6.011828,  -31.342645,  31.914001,  -79.142122,  0.841511,  1.498800,  70.814148
 0.755000,  11.655100,  5.964374,  -31.077033,  31.644205,  -79.135910,  0.841961,  1.494161,  70.889825
 0.760000,  11.639997,  5.945840,  -30.832859,  31.400927,  -79.085148,  0.841772,  1.496109,  70.858029
 0.765000,  11.727841,  5.866772,  -30.509367,  31.068320,  -79.115362,  0.842864,  1.484848,  71.041999
 0.770000,  11.958161,  5.725140,  -30.236870,  30.774105,  -79.278507,  0.845657,  1.456114,  71.513595
 0.775000,  11.874570,  5.742507,  -30.011559,  30.556015,  -79.167912,  0.844655,  1.466413,  71.344207
 0.780000,  11.874476,  5.715544,  -29.746482,  30.290603,  -79.123776,  0.844654,  1.466425,  71.344015
 0.785000,  11.895621,  5.686195,  -29.556868,  30.098858,  -79.110533,  0.844909,  1.463805,  71.387053
 0.790000,  12.099852,  5.567647,  -29.332470,  29.856197,  -79.252583,  0.847327,  1.438984,  71.796224
 0.795000,  12.165213,  5.517031,  -29.120964,  29.638963,  -79.272468,  0.848084,  1.431218,  71.924731
 0.800000,  12.302069,  5.433043,  -28.886798,  29.393282,  -79.348358,  0.849647,  1.415225,  72.190078
 0.805000,  12.533184,  5.314853,  -28.697680,  29.185690,  -79.507760,  0.852215,  1.389015,  72.627061
