Created: Mar 25, 2019  15:17:51
AIM version 912 // ID = 190216155237
"03-25-19-1.scn"
Z0, 50
Freq(MHz),SWR,Rs,Xs,Zmag,Phase(deg),Rho,ReturnLoss,%ReflectedPower
 0.680000,  6.124989,  11.610927,  -31.871764,  33.920833,  -69.983372,  0.719298,  2.861825,  51.738932
 0.685000,  6.156622,  11.487145,  -31.582227,  33.606422,  -70.012693,  0.720539,  2.846855,  51.917582
 0.690000,  6.169255,  11.422205,  -31.391591,  33.405071,  -70.005602,  0.721031,  2.840921,  51.988571
 0.695000,  6.214376,  11.280631,  -31.122567,  33.103879,  -70.076656,  0.722776,  2.819928,  52.240480
 0.700000,  6.264334,  11.159087,  -30.979921,  32.928418,  -70.190908,  0.724682,  2.797047,  52.516438
 0.705000,  6.314854,  11.010788,  -30.700489,  32.615295,  -70.269656,  0.726584,  2.774286,  52.792393
 0.710000,  6.318442,  10.960948,  -30.486076,  32.396654,  -70.224610,  0.726718,  2.772684,  52.811874
 0.715000,  6.401551,  10.775363,  -30.282094,  32.142085,  -70.412896,  0.729786,  2.736085,  53.258812
 0.720000,  6.421345,  10.706782,  -30.105326,  31.952556,  -70.422493,  0.730507,  2.727512,  53.364058
 0.725000,  6.468478,  10.584772,  -29.885597,  31.704673,  -70.497181,  0.732208,  2.707313,  53.612828
 0.730000,  6.527081,  10.443717,  -29.652670,  31.438067,  -70.597780,  0.734293,  2.682615,  53.918582
 0.735000,  6.561300,  10.341846,  -29.404990,  31.170615,  -70.623157,  0.735495,  2.668403,  54.095321
 0.740000,  6.675928,  10.122003,  -29.189774,  30.894949,  -70.875349,  0.739445,  2.621880,  54.677917
 0.745000,  6.712854,  10.037050,  -29.032397,  30.718439,  -70.928886,  0.740693,  2.607240,  54.862554
 0.750000,  6.736285,  9.953142,  -28.760600,  30.434144,  -70.910992,  0.741478,  2.598035,  54.978960
 0.755000,  6.781676,  9.841582,  -28.510074,  30.160919,  -70.955622,  0.742986,  2.580388,  55.202812
 0.760000,  6.838407,  9.728321,  -28.333734,  29.957315,  -71.050336,  0.744846,  2.558669,  55.479571
 0.765000,  6.910655,  9.586957,  -28.108029,  29.697997,  -71.166879,  0.747176,  2.531537,  55.827261
 0.770000,  7.003364,  9.418212,  -27.865678,  29.414260,  -71.325587,  0.750105,  2.497558,  56.265762
 0.775000,  7.064627,  9.304108,  -27.672839,  29.195076,  -71.416553,  0.752003,  2.475604,  56.550913
 0.780000,  7.137656,  9.169613,  -27.434092,  28.925961,  -71.518357,  0.754229,  2.449936,  56.886135
