!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Tue Mar 28 10:57:36 2023

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+1.15001770000e+006, +6.13138923604e+002, -9.34622945753e+003
+1.15626768750e+006, +6.09868320913e+002, -9.29752343876e+003
+1.16251767500e+006, +6.06717672744e+002, -9.24991233936e+003
+1.16876766250e+006, +6.02559739379e+002, -9.20276178076e+003
+1.17501765000e+006, +5.99424617122e+002, -9.15554460406e+003
+1.18126763750e+006, +5.95889682404e+002, -9.10961294780e+003
+1.18751762500e+006, +5.92993544197e+002, -9.06347551349e+003
+1.19376761250e+006, +5.89534305302e+002, -9.01802379328e+003
+1.20001760000e+006, +5.86368829188e+002, -8.97339912141e+003
+1.20626758750e+006, +5.83137735274e+002, -8.92902016010e+003
+1.21251757500e+006, +5.80291761668e+002, -8.88462867243e+003
+1.21876756250e+006, +5.76585553198e+002, -8.84079830226e+003
+1.22501755000e+006, +5.73991285028e+002, -8.79780249183e+003
+1.23126753750e+006, +5.70586706472e+002, -8.75514703911e+003
+1.23751752500e+006, +5.68006562285e+002, -8.71256204551e+003
+1.24376751250e+006, +5.64707885401e+002, -8.67072670667e+003
+1.25001750000e+006, +5.61764459564e+002, -8.62900565325e+003
+1.25626748750e+006, +5.58810727657e+002, -8.58730586896e+003
+1.26251747500e+006, +5.55589815352e+002, -8.54727926021e+003
+1.26876746250e+006, +5.52560753078e+002, -8.50653713954e+003
+1.27501745000e+006, +5.49488696167e+002, -8.46702078897e+003
+1.28126743750e+006, +5.47171640178e+002, -8.42696491004e+003
+1.28751742500e+006, +5.44402970287e+002, -8.38809851710e+003
+1.29376741250e+006, +5.41346447153e+002, -8.34854674500e+003
+1.30001740000e+006, +5.38580457616e+002, -8.31055983262e+003
+1.30626738750e+006, +5.36047321370e+002, -8.27240184313e+003
+1.31251737500e+006, +5.33098767039e+002, -8.23505229137e+003
+1.31876736250e+006, +5.30730516382e+002, -8.19736734346e+003
+1.32501735000e+006, +5.28068446696e+002, -8.16016900958e+003
+1.33126733750e+006, +5.25400192270e+002, -8.12373950116e+003
+1.33751732500e+006, +5.22998726560e+002, -8.08704132231e+003
+1.34376731250e+006, +5.20176418844e+002, -8.05109424321e+003
+1.35001730000e+006, +5.17745612435e+002, -8.01547411366e+003
+1.35626728750e+006, +5.15544486063e+002, -7.97954022556e+003
+1.36251727500e+006, +5.12511400181e+002, -7.94489880375e+003
+1.36876726250e+006, +5.09966818186e+002, -7.90998070000e+003
+1.37501725000e+006, +5.07527593932e+002, -7.87567086389e+003
+1.38126723750e+006, +5.05505633824e+002, -7.84142170303e+003
+1.38751722500e+006, +5.02653569923e+002, -7.80772277051e+003
+1.39376721250e+006, +5.00674228462e+002, -7.77399296030e+003
+1.40001720000e+006, +4.97986563535e+002, -7.74101539520e+003
+1.40626718750e+006, +4.95601132907e+002, -7.70822552810e+003
